query_id,k,precision,recall,ndcg
Q1,1,1.0,0.04,1.0
Q1,3,1.0,0.12,1.0
Q1,5,1.0,0.2,1.0
Q2,1,1.0,0.04,1.0
Q2,3,1.0,0.12,1.0
Q2,5,1.0,0.2,1.0
Q3,1,1.0,0.04,1.0
Q3,3,1.0,0.12,1.0
Q3,5,1.0,0.2,1.0
Q4,1,1.0,0.04,1.0
Q4,3,1.0,0.12,1.0
Q4,5,1.0,0.2,1.0
Q5,1,1.0,0.04,1.0
Q5,3,1.0,0.12,1.0
Q5,5,1.0,0.2,1.0
Q6,1,1.0,0.04,1.0
Q6,3,1.0,0.12,1.0
Q6,5,1.0,0.2,1.0
Q7,1,1.0,0.0435,1.0
Q7,3,1.0,0.1304,1.0
Q7,5,1.0,0.2174,1.0
Q8,1,1.0,0.0435,1.0
Q8,3,1.0,0.1304,1.0
Q8,5,1.0,0.2174,1.0
Q9,1,1.0,0.0435,1.0
Q9,3,1.0,0.1304,1.0
Q9,5,0.8,0.1739,0.9521
Q10,1,1.0,0.0435,1.0
Q10,3,1.0,0.1304,1.0
Q10,5,0.8,0.1739,0.9521
Q11,1,1.0,0.0435,1.0
Q11,3,1.0,0.1304,1.0
Q11,5,1.0,0.2174,1.0
Q12,1,1.0,0.0435,1.0
Q12,3,1.0,0.1304,1.0
Q12,5,1.0,0.2174,1.0
Q13,1,1.0,0.0323,1.0
Q13,3,1.0,0.0968,1.0
Q13,5,1.0,0.1613,1.0
Q14,1,1.0,0.0323,1.0
Q14,3,1.0,0.0968,1.0
Q14,5,1.0,0.1613,1.0
Q15,1,1.0,0.0323,1.0
Q15,3,1.0,0.0968,1.0
Q15,5,1.0,0.1613,1.0
Q16,1,1.0,0.0323,1.0
Q16,3,1.0,0.0968,1.0
Q16,5,1.0,0.1613,1.0
Q17,1,1.0,0.0323,1.0
Q17,3,1.0,0.0968,1.0
Q17,5,1.0,0.1613,1.0
Q18,1,1.0,0.0323,1.0
Q18,3,1.0,0.0968,1.0
Q18,5,1.0,0.1613,1.0
Q19,1,1.0,0.0556,1.0
Q19,3,1.0,0.1667,1.0
Q19,5,1.0,0.2778,0.9026
Q20,1,1.0,0.0556,1.0
Q20,3,1.0,0.1667,1.0
Q20,5,1.0,0.2778,1.0
Q21,1,1.0,0.0556,1.0
Q21,3,1.0,0.1667,1.0
Q21,5,1.0,0.2778,1.0
Q22,1,1.0,0.0556,1.0
Q22,3,1.0,0.1667,1.0
Q22,5,1.0,0.2778,1.0
Q23,1,1.0,0.0556,1.0
Q23,3,1.0,0.1667,0.8026
Q23,5,1.0,0.2778,0.9323
Q24,1,1.0,0.0556,1.0
Q24,3,1.0,0.1667,0.8026
Q24,5,1.0,0.2778,0.9323
