id,title,arabic_text,english_text,reference
1,Prayer for relief from anxiety and sorrow,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْهَمِّ وَالْحَزَنِ,O Allah I seek refuge in You from anxiety and sorrow from weakness and laziness from miserliness and cowardice from being overcome by debt and from being overpowered by men,Sahih Bukhari
2,Prayer for seeking ease in difficult matters,اللَّهُمَّ لَا سَهْلَ إِلَّا مَا جَعَلْتَهُ سَهْلًا وَأَنْتَ تَجْعَلُ الْحَزْنَ إِذَا شِئْتَ سَهْلًا,O Allah there is no ease except in that which You have made easy and You make the difficulty if You wish easy,Ibn Hibban
3,Prayer for reliance and trust upon Allah,حَسْبُنَا اللَّهُ وَنِعْمَ الْوَكِيلُ,Allah is sufficient for us and He is the best disposer of affairs,Quran 3:173
4,Prayer for seeking mercy and relief from hardship,يَا حَيُّ يَا قَيُّومُ بِرَحْمَتِكَ أَسْتَغِيثُ أَصْلِحْ لِي شَأْنِي كُلَّهُ,O Ever Living O Sustainer by Your mercy I seek relief rectify for me all of my affairs,Tirmidhi
5,Prayer for protection from the accursed devil,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ,I seek refuge with Allah from the accursed devil,Sahih Bukhari
6,Prayer of gratitude for the completion of good deeds,الْحَمْدُ لِلَّهِ الَّذِي بِنِعْمَتِهِ تَتِمُّ الصَّالِحَاتُ,Praise be to Allah by whose grace and blessing good deeds are completed,Ibn Majah
7,Prayer for help in remembrance gratitude and worship,اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ,O Allah help me to remember You to be grateful to You and to worship You in an excellent manner,Abu Dawud
8,Prayer of repentance and seeking forgiveness,رَبَّنَا ظَلَمْنَا أَنفُسَنَا وَإِن لَّمْ تَغْفِرْ لَنَا وَتَرْحَمْنَا لَنَكُونَنَّ مِنَ الْخَاسِرِينَ,Our Lord we have wronged ourselves and if You do not forgive us and have mercy upon us we will surely be among the losers,Quran 7:23
9,Prayer for expansion of the chest and ease in affairs,رَبِّ اشْرَحْ لِي صَدْرِي وَيَسِّرْ لِي أَمْرِي,My Lord expand my chest for me and ease my task for me,Quran 20:25-26
10,Prayer for protection from all harm in the name of Allah,بِسْمِ اللَّهِ الَّذِي لَا يَضُرُّ مَعَ اسْمِهِ شَيْءٌ فِي الْأَرْضِ وَلَا فِي السَّمَاءِ,In the name of Allah with whose name nothing on earth or in heaven can cause harm and He is the All Hearing All Knowing,Abu Dawud
11,Prayer for steadfastness in faith and righteous deeds,يَا مُقَلِّبَ الْقُلُوبِ ثَبِّتْ قَلْبِي عَلَى دِينِكَ,O Turner of hearts make my heart steadfast upon Your religion,Tirmidhi
12,Prayer for improvement of religion worldly life and hereafter,اللَّهُمَّ أَصْلِحْ لِي دِينِي الَّذِي هُوَ عِصْمَةُ أَمْرِي وَأَصْلِحْ لِي دُنْيَايَ الَّتِي فِيهَا مَعَاشِي,O Allah rectify for me my religion which is the safeguard of my affairs and rectify for me my worldly life in which is my livelihood and rectify for me my hereafter to which is my return,Sahih Muslim
13,Prayer seeking refuge from the evil of oneself and others,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ شَرِّ نَفْسِي وَمِنْ شَرِّ كُلِّ دَابَّةٍ أَنْتَ آخِذٌ بِنَاصِيَتِهَا,O Allah I seek refuge in You from the evil of myself and from the evil of every creature that You have taken by the forelock,Abu Dawud
14,Prayer for guidance to best character and deeds,اللَّهُمَّ اهْدِنِي لِأَحْسَنِ الْأَخْلَاقِ وَالْأَعْمَالِ لَا يَهْدِي لِأَحْسَنِهَا إِلَّا أَنْتَ,O Allah guide me to the best of characters and the best of deeds for none can guide to the best of them except You,Nasai
15,Prayer for a good life and protection from a bad death,اللَّهُمَّ إِنِّي أَسْأَلُكَ الْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ,O Allah I ask You for wellbeing in this world and the hereafter,Abu Dawud
16,Prayer when feeling overwhelmed and oppressed by people,اللَّهُمَّ إِنِّي أَشْكُو إِلَيْكَ ضَعْفَ قُوَّتِي وَقِلَّةَ حِيلَتِي وَهَوَانِي عَلَى النَّاسِ,O Allah I complain to You of my weakness my insufficient capability and my insignificance before people,Ibn Hisham
17,Prayer for protection from debt and being overpowered,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْمَأْثَمِ وَالْمَغْرَمِ,O Allah I seek refuge in You from sin and from debt,Sahih Bukhari
18,Prayer of the distressed person seeking Allah alone,لَا إِلَهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,There is no deity except You exalted are You indeed I have been of the wrongdoers,Quran 21:87
19,Prayer for patience and gratitude in all conditions,اللَّهُمَّ مَا أَصْبَحَ بِي مِنْ نِعْمَةٍ أَوْ بِأَحَدٍ مِنْ خَلْقِكَ فَمِنْكَ وَحْدَكَ,O Allah whatever blessing I or any of Your creation have risen upon is from You alone You have no partner,Abu Dawud
20,Prayer for acceptance of repentance and purification of heart,رَبَّنَا تَقَبَّلْ مِنَّا إِنَّكَ أَنْتَ السَّمِيعُ الْعَلِيمُ,Our Lord accept from us indeed You are the All Hearing the All Knowing,Quran 2:127
