query_id,query_text,query_emotion,query_cause,verse_id,surah,ayah,verse_emotion,verse_cause,relevance
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,75,2,90,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,76,9,67,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,77,2,15,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,78,58,14,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,79,5,58,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,94,2,34,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,95,2,51,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,96,2,61,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,98,2,83,Anger,Faith / Spiritual State,2
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,80,7,150,Anger,Life Trials / Hardship,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,81,20,86,Anger,Life Trials / Hardship,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,82,3,153,Anger,Life Trials / Hardship,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,83,2,72,Anger,Life Trials / Hardship,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,84,2,49,Anger,Life Trials / Hardship,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,85,33,10,Anger,Life Trials / Hardship,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,86,4,155,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,87,9,30,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,88,49,6,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,89,42,37,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,90,3,186,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,91,33,57,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,92,60,1,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,93,2,85,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,97,5,64,Anger,Relationships / People,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,99,2,87,Anger,Life Trials / Hardship,1
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,20,79,40,Fear,Faith / Spiritual State,0
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,56,2,62,Sadness,Faith / Spiritual State,0
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,11,5,52,Fear,Relationships / People,0
Q1,I feel so angry when my faith feels weak and I keep making the same mistakes,Anger,Faith / Spiritual State,71,12,17,Sadness,Relationships / People,0
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,75,2,90,Anger,Faith / Spiritual State,2
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,76,9,67,Anger,Faith / Spiritual State,2
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,77,2,15,Anger,Faith / Spiritual State,2
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,78,58,14,Anger,Faith / Spiritual State,2
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,79,5,58,Anger,Faith / Spiritual State,2
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,94,2,34,Anger,Faith / Spiritual State,2
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,95,2,51,Anger,Faith / Spiritual State,2
Q2,I am furious at myself for drifting away from Allah,Anger,Faith / Spiritual State,96,2,61,Anger,Faith / Spiritual State,2
